seconds,pressure,flow,insp,.dVol,volume,vent_RR,vent_rel_vt
11.341639757156372,7.3306,-27.0947,679,-8.825299999999999,569.7411166666667,10,10
11.361630201339722,7.0532,-27.802,679,-9.149449999999998,560.5916666666667,10,10
11.38162088394165,6.8452,-28.244,679,-9.341,551.2506666666667,10,10
11.401611328125,6.6718,-28.5976,679,-9.4736,541.7770666666667,10,10
11.42160177230835,6.5678,-28.9512,679,-9.591466666666667,532.1856,10,10
11.441592454910278,6.4637,-28.9512,679,-9.6504,522.5352,10,10
11.461582899093628,6.3597,-28.5092,679,-9.576733333333333,512.9584666666667,10,10
11.481573343276978,6.2904,-28.1556,679,-9.444133333333333,503.51433333333335,10,10
11.501563787460327,6.2557,-27.8904,679,-9.341,494.17333333333335,10,10
11.521554231643677,6.221,-27.36,679,-9.2084,484.96493333333336,10,10
11.541544675827026,6.221,-27.0063,679,-9.06105,475.90388333333334,10,10
11.561535120010376,6.1863,-26.6527,679,-8.943166666666666,466.96071666666666,10,10
11.581525802612305,6.1863,-26.2107,679,-8.810566666666666,458.15015,10,10
11.601516246795654,6.1863,-25.8571,679,-8.677966666666666,449.47218333333336,10,10
11.621506929397583,6.1516,-25.4151,679,-8.545366666666666,440.9268166666667,10,10
11.641497373580933,6.1516,-24.9731,679,-8.398033333333332,432.52878333333337,10,10
11.661487817764282,6.1863,-24.5311,679,-8.2507,424.2780833333333,10,10
11.681478261947632,6.1863,-23.9123,679,-8.0739,416.20418333333333,10,10
11.701468706130981,6.1863,-23.4703,679,-7.897099999999999,408.30708333333337,10,10
11.72145938873291,6.1863,-23.0283,679,-7.749766666666668,400.5573166666667,10,10
11.74144983291626,6.1516,-22.6747,679,-7.617166666666667,392.94015,10,10
11.76144027709961,6.1516,-22.3211,679,-7.4993,385.44085,10,10
11.781430721282959,6.1516,-21.8791,679,-7.366700000000001,378.07415000000003,10,10
11.801421165466309,6.1516,-21.4371,679,-7.219366666666667,370.85478333333333,10,10
11.821411609649658,6.1516,-21.0835,679,-7.0867666666666675,363.76801666666665,10,10
11.841402053833008,6.1516,-20.6415,679,-6.954166666666667,356.81385,10,10
11.861392498016357,6.1516,-20.3763,679,-6.8363,349.97755,10,10
11.881383419036865,6.1516,-20.1995,679,-6.7626333333333335,343.2149166666667,10,10
11.901373863220215,6.1516,-19.7575,679,-6.6595,336.55541666666664,10,10
11.921364307403564,6.117,-19.4923,679,-6.541633333333333,330.0137833333333,10,10
11.941354751586914,6.1516,-19.2271,679,-6.453233333333333,323.56055,10,10
11.961345195770264,6.117,-18.9619,679,-6.364833333333333,317.19571666666667,10,10
11.981335639953613,6.0476,-18.4315,679,-6.232233333333333,310.96348333333333,10,10
12.001326084136963,6.0129,-17.5475,679,-5.9965,304.96698333333336,10,10
12.021316766738892,6.0129,-16.7519,679,-5.716566666666666,299.2504166666667,10,10
12.041307210922241,6.0129,-16.3099,679,-5.510299999999999,293.74011666666667,10,10
12.06129765510559,6.0476,-15.9563,679,-5.3777,288.36241666666666,10,10
12.08128809928894,6.0823,-15.7795,679,-5.2893,283.0731166666667,10,10
12.10127854347229,6.1516,-15.6911,679,-5.245100000000001,277.82801666666666,10,10
12.121269226074219,6.1863,-15.6027,679,-5.215633333333334,272.61238333333336,10,10
12.141259670257568,6.221,-15.6027,679,-5.200900000000001,267.4114833333333,10,10
12.161250352859497,6.2557,-15.3375,679,-5.1567,262.25478333333336,10,10
12.181240797042847,6.2557,-15.1607,679,-5.083033333333333,257.17175000000003,10,10
12.201231241226196,6.221,-14.9839,679,-5.024100000000001,252.14765,10,10
12.221221685409546,6.1863,-14.8955,679,-4.9799,247.16775,10,10
12.241212129592896,6.1516,-14.7187,679,-4.9357,242.23205000000002,10,10
12.261202573776245,6.117,-14.3651,679,-4.8473,237.38475,10,10
12.281193017959595,6.0476,-14.0115,679,-4.729433333333334,232.65531666666666,10,10
12.301183700561523,6.0129,-13.6579,679,-4.611566666666667,228.04375000000002,10,10
12.321174144744873,5.9783,-13.3927,679,-4.5084333333333335,223.53531666666666,10,10
12.341164588928223,5.9436,-13.1275,679,-4.420033333333333,219.11528333333334,10,10
